"TIME","GEO","SEX","FIELD","ISCED97","UNIT","Value","Flag and Footnotes"
"2004","Latvia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","7,951",""
"2004","Latvia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","5,021",""
"2004","Latvia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,930",""
"2004","Lithuania","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","6,924",""
"2004","Lithuania","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","4,086",""
"2004","Lithuania","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,838",""
"2004","Luxembourg","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,129",""
"2004","Luxembourg","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,098",""
"2004","Luxembourg","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,031",""
"2004","Hungary","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","26,070",""
"2004","Hungary","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","16,517",""
"2004","Hungary","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","9,553",""
"2004","Malta","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2004","Malta","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2004","Malta","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2004","Netherlands","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","127,240",""
"2004","Netherlands","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","64,048",""
"2004","Netherlands","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","63,192",""
"2004","Austria","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2004","Austria","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2004","Austria","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2004","Poland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","313,012",""
"2004","Poland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","170,825",""
"2004","Poland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","142,187",""
"2004","Portugal","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2004","Portugal","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2004","Portugal","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2004","Romania","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","165,393",""
"2004","Romania","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","95,729",""
"2004","Romania","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","69,664",""
"2004","Slovenia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","21,820",""
"2004","Slovenia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","11,498",""
"2004","Slovenia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","10,322",""
"2004","Slovakia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","59,953",""
"2004","Slovakia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","31,755",""
"2004","Slovakia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","28,198",""
"2004","Finland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","52,882",""
"2004","Finland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","24,276",""
"2004","Finland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","28,606",""
"2004","Sweden","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","41,707",""
